RegionID,Full,lat,long,pop,density
394746,"Killeen, TX",31.0753,-97.7297,231312,1045
394747,"Kingsport, TN",36.5224,-82.5454,98767,394
394748,"Kingston, NY",41.9295,-73.9968,22954,1184
394749,"Huntsville, TX",30.7009,-95.5567,41664,377
394750,"Kinston, NC",35.2747,-77.5939,20173,422
394751,"Kirksville, MO",40.1986,-92.5752,17645,473
394752,"Klamath Falls, OR",42.2195,-121.7754,21509,412
394753,"Knoxville, TN",35.9692,-83.9496,603685,733
394755,"Kokomo, IN",40.464,-86.1277,58066,611
394756,"La Crosse, WI",43.8241,-91.2268,99227,916
394758,"La Grande, OR",45.3242,-118.0865,13380,1128
394759,"Laconia, NH",43.5725,-71.4775,16584,322
394761,"Lafayette, LA",30.2082,-92.0325,263551,876
394762,"LaGrange, GA",33.0274,-85.0384,30494,279
394763,"Lake Charles, LA",30.201,-93.2111,145029,658
394764,"Lake City, FL",30.1901,-82.6471,12166,396
394765,"Lake Havasu City, AZ",34.5006,-114.3113,55463,462
394766,"Lakeland, FL",28.0557,-81.9545,300268,643
394767,"Lamesa, TX",32.7333,-101.9541,9179,693
394768,"Lancaster, PA",40.042,-76.3012,430621,3169
394770,"Lansing, MI",42.7142,-84.5601,326380,1158
394771,"Laramie, WY",41.3099,-105.6085,32515,683
394772,"Laredo, TX",27.5625,-99.4874,262774,944
394773,"Las Cruces, NM",32.3265,-106.7893,129538,516
394774,"Las Vegas, NM",35.6011,-105.2206,13055,644
394775,"Las Vegas, NV",36.2333,-115.2654,2165405,1754
394776,"Laurel, MS",31.6956,-89.1449,18403,437
394777,"Laurinburg, NC",34.7602,-79.4773,15118,465
394778,"Lawrence, KS",38.9597,-95.2642,96694,1100
394779,"Lawrenceburg, TN",35.2497,-87.3325,10925,333
394780,"Lawton, OK",34.6175,-98.4202,90487,443
394781,"Lebanon, MO",37.6717,-92.6603,14735,388
394783,"Lebanon, PA",40.3412,-76.4228,80620,2388
394784,"Levelland, TX",33.5806,-102.3635,13566,513
394785,"Lewisburg, PA",40.9641,-76.8901,5730,2273
394786,"Lewisburg, TN",35.451,-86.7901,12150,337
394787,"Lewiston, ID",46.3934,-116.9933,32853,732
394788,"Lewiston, ME",44.0915,-70.1681,36158,408
394789,"Lewistown, PA",40.5964,-77.573,8157,1551
394791,"Lexington, NE",40.7779,-99.7461,10069,863
394792,"Lexington, KY",38.0423,-84.4587,316743,438
394793,"Liberal, KS",37.0466,-100.9295,19025,642
394794,"Lima, OH",40.741,-84.112,69440,1046
394795,"Lincoln, IL",40.1508,-89.372,13742,849
394796,"Lincoln, NE",40.8099,-96.6784,280780,1131
394798,"Little Rock, AR",34.7256,-92.3577,446814,637
394799,"Lock Haven, PA",41.1365,-77.4521,8997,1391
394800,"Lowman, ID",44.0786,-115.6206,14,2
394801,"Logansport, IN",40.7472,-86.352,17968,661
394802,"London, KY",37.1175,-84.0767,8058,268
394803,"Longview, TX",32.5193,-94.7622,98775,568
394804,"Longview, WA",46.1461,-122.963,67958,989
394805,"Los Alamos, NM",35.8927,-106.2862,12978,451
394808,"Lubbock, TX",33.5657,-101.8879,257835,737
394809,"Lufkin, TX",31.3217,-94.7277,35336,398
394810,"Lumberton, NC",34.6312,-79.0186,20704,450
394811,"Lynchburg, VA",37.4003,-79.1909,125710,638
394812,"Macomb, IL",40.4709,-90.6807,17658,644
394814,"Madera, CA",36.963,-120.0778,80218,1536
394815,"Marion, IN",40.5497,-85.6604,27730,682
394816,"Madison, WI",43.0822,-89.393,445499,1253
394817,"Madisonville, KY",37.3409,-87.5034,18801,406
394818,"Magnolia, AR",33.2775,-93.2261,11537,336
394820,"Manchester, NH",42.9848,-71.4447,163488,1312
394821,"Manhattan, KS",39.1886,-96.6048,55045,1066
394822,"Manitowoc, WI",44.0991,-87.6812,32558,706
394823,"Mankato, MN",44.1715,-93.9772,42685,853
394824,"Mansfield, OH",40.7656,-82.5275,74021,581
394825,"Marinette, WI",45.0871,-87.6336,10566,582
394826,"Marion, IN",40.5497,-85.6604,27730,682
394827,"Marion, OH",40.5973,-83.1227,36011,1072
394829,"Marquette, MI",46.544,-87.4082,20631,702
394830,"Marshall, MN",44.4488,-95.7897,13604,514
394831,"Marshall, MO",39.1147,-93.201,12920,492
394832,"Marshall, TX",32.537,-94.3515,22881,298
394833,"Marshalltown, IA",42.0343,-92.9068,26957,542
394835,"Martin, TN",36.3385,-88.8513,10585,329
394836,"Martinsville, VA",36.6826,-79.8636,12646,445
394837,"Maryville, MO",40.3428,-94.8702,11641,705
394838,"Mason City, IA",43.1487,-93.1997,27064,375
394840,"Mayfield, KY",36.7371,-88.6447,9823,518
